Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
Egypt,104,4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.28211015462875394,0.114381365478039,0.128631442785263,1.70251671224832,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Malta,22,6.627000000000002,1.27,1.525,0.884,0.645,0.142,0.376,1.785,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,2.400999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Iraq,117,4.456,1.01,0.971,0.536,0.304,0.095,0.14800000000000002,1.3920000000000003,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Guatemala,39,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,3.1990000000000003,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Canada,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2.1868767738342347,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Ecuador,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77326,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Estonia,72,5.517,1.27964,1.0516299999999998,0.68098,0.41511,0.18519,0.08423,1.8202200000000008,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ireland,14,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.306,0.307,1.842999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Lithuania,60,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60521,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Botswana,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.9675299999999999,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.08900000000000001,0.151,1.1490000000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Slovakia,38,6.198,1.246,1.504,0.8809999999999999,0.334,0.014,0.121,2.0980000000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Uzbekistan,44,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.259,0.328,1.877,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Uganda,135,4.1610000000000005,0.322,1.09,0.237,0.45,0.061,0.259,1.7420000000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Bosnia and Herzegovina,96,4.949,0.8322299999999999,0.91916,0.79081,0.09245,0.00227,0.24808,2.064,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Syria,150,3.462,0.6890000000000001,0.382,0.539,0.08800000000000001,0.14400000000000002,0.376,1.243999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Pakistan,67,5.653,0.677,0.8859999999999999,0.535,0.313,0.098,0.22,2.9239999999999995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Somalia,76,5.44,0.0,0.33613000000000004,0.11465999999999997,0.5677800000000001,0.3118,0.27225,3.837380000000001,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Tanzania,146,3.781,0.2852,1.00268,0.38215,0.32878,0.057470000000000014,0.34377,1.38095,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Laos,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.0862700000000007,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Kosovo,77,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80958,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Georgia,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.055470000000000005,1.5956699999999997,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Azerbaijan,89,5.207999999999998,1.043,1.147,0.769,0.35100000000000003,0.182,0.035,1.6809999999999992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lebanon,91,5.197,0.987,1.224,0.815,0.21600000000000005,0.027000000000000003,0.166,1.7619999999999998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Malawi,131,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2.80741,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Bhutan,79,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.6380699999999997,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Ukraine,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50021,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Morocco,85,5.254,0.779,0.797,0.669,0.46,0.07400000000000001,0.026,2.449,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Ghana,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,2.365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Colombia,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15625999999999998,3.1747999999999994,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Liberia,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206,1.639,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Lesotho,141,3.808,0.472,1.215,0.079,0.423,0.112,0.116,1.391,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Uganda,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.4277800000000005,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Zimbabwe,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.4422200000000003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mozambique,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.0512599999999996,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
